urlID,Name,Career_length,Career_WS/48,Career_OBPM,Career_DBPM,Career_BPM,Career_VORP,Draft_pick,Undrafted,Retired,Rookie_age,Guard1,Forward1,Center1,G1,MP1,PER1,TS1,3PAr1,FTr1,ORB%1,DRB%1,TRB%1,AST%1,STL%1,BLK%1,TOV%1,USG%1,OWS1,DWS1,WS1,WS/48_1,OBPM1,DBPM1,BPM1,VORP1,Guard2,Forward2,Center2,G2,MP2,PER2,TS2,3PAr2,FTr2,ORB%2,DRB%2,TRB%2,AST%2,STL%2,BLK%2,TOV%2,USG%2,OWS2,DWS2,WS2,WS/48_2,OBPM2,DBPM2,BPM2,VORP2
baileja01,James Bailey,9,0.061000000000000006,-2.9111111111111105,0.1222222222222222,-2.7666666666666666,-0.10000000000000002,6,0,1,22,0,1,0,67,726,12.3,0.495,0,0.373,10.2,18.3,14.3,5.3,1.4,4.1,20,21.4,-0.4,1.4,1,0.063,-4.5,0.9,-3.5,-0.3,0,1,0,82,2539,14.5,0.546,0.002,0.406,8.5,17.6,13.1,5.8,1.4,3.1,17.3,20.3,1.4,3.6,4.9,0.094,-1.3,1.2,-0.1,1.2
batesbi01,Billy Ray Bates,4,0.097,0.9250000000000003,-2.475,-1.6,0.02500000000000001,47,0,1,23,1,0,0,16,235,24.1,0.552,0.13,0.267,6,7.6,6.8,23.8,2.9,0.5,10.9,32,0.7,0.3,0.9,0.188,5.4,-2.1,3.3,0.3,1,0,0,77,1560,19.3,0.537,0.06,0.221,4.9,6,5.5,19,2.4,0.2,13.1,28.9,2.4,1.2,3.6,0.111,1.9,-2.5,-0.7,0.5
birdla01,Larry Bird*,13,0.19515384615384612,4.276923076923077,2.3076923076923075,6.592307692307691,6.123076923076921,6,0,1,23,0,1,0,82,2955,20.5,0.538,0.098,0.246,8.3,23.6,16,18.5,2.3,1,14,25.3,5.6,5.6,11.2,0.182,2.7,2.6,5.3,5.4,0,1,0,82,3239,19.9,0.528,0.049,0.218,7,23.8,15.7,20.4,2.4,1.1,14.9,24.3,4.7,6.1,10.8,0.16,2.1,3,5.1,5.8
bostola01,Lawrence Boston,1,0.075,-2.3,-2.4,-4.7,-0.1,81,0,1,23,0,1,0,13,125,12.6,0.485,0,0.25,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,0.1,0.1,0.2,0.075,-2.3,-2.4,-4.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
bradldu01,Dudley Bradley,9,0.06988888888888889,-1.8444444444444446,1.9333333333333331,0.08888888888888882,0.7333333333333335,13,0,1,22,1,0,0,82,2027,13.5,0.502,0.008,0.286,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,0.2,2.9,3.1,0.073,-1.5,2.2,0.7,1.4,1,0,0,82,1867,13.7,0.515,0.029,0.318,4,7.4,5.6,13.6,4.7,1.1,16.1,16.3,1,2.9,3.9,0.1,-0.4,2.3,1.9,1.8
cartwbi01,Bill Cartwright,15,0.10533333333333333,-1.2933333333333332,-0.04000000000000003,-1.3333333333333333,0.7133333333333333,3,0,1,22,0,0,1,82,3150,17.9,0.608,0,0.466,6.6,18.6,12.6,7,0.7,1.7,13.2,20.6,7.7,2.1,9.7,0.148,1.5,-0.9,0.6,2.1,0,0,1,82,2925,18.4,0.611,0.001,0.463,6.1,18.3,12,5.6,0.8,1.6,12.9,21.5,6.9,3.1,10,0.164,1.2,-0.7,0.5,1.8
cookje01,Jeff Cook,8,0.08087499999999999,-2.125,1.1624999999999999,-1.0,0.5125000000000001,49,0,1,23,0,1,0,66,904,14.4,0.546,0.011,0.469,11.2,18,14.6,12.2,1.4,1.1,17.6,17.7,1.1,1.3,2.4,0.126,-0.8,0.6,-0.2,0.4,0,1,0,79,2192,11.2,0.491,0.008,0.252,8.7,14.7,11.7,11.8,1.7,1.4,17.6,14.8,0.6,3.8,4.5,0.098,-1.6,2.4,0.8,1.6
copelho01,Hollis Copeland,2,0.0405,-2.7,-1.4,-4.1,-0.05,46,0,1,24,0,1,0,75,1142,11,0.526,0.005,0.234,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,0.5,0.8,1.2,0.052,-1.7,-0.4,-2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,
coughjo01,John Coughran,1,-0.086,-6.5,-2.6,-9.1,-0.3,74,0,1,28,0,1,0,24,160,6,0.39,0.111,0.173,1.3,12.1,6.5,10.6,2.1,0.4,13,25.8,-0.4,0.1,-0.3,-0.086,-6.5,-2.6,-9.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
crosbte01,Terry Crosby,1,-0.051,-8.3,-4.9,-13.3,-0.1,62,0,1,23,1,0,0,4,28,3.5,0.615,0,0.5,0,4,1.9,30,0,0,50.6,14.1,0,0,0,-0.051,-8.3,-4.9,-13.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
cummipa01,Pat Cummings,12,0.08108333333333335,-1.9833333333333334,-1.1916666666666667,-3.183333333333333,-0.09166666666666663,59,0,1,23,0,0,1,71,900,15.3,0.552,0,0.332,10.1,18.4,14.4,8.2,1.1,1,14.9,22,1.2,1.2,2.5,0.131,-0.8,-1.2,-2,0,0,0,1,74,1084,15.2,0.57,0.004,0.304,10.2,19.4,14.9,8,1.3,1,17.9,23,1,1.7,2.7,0.121,-1,-1.1,-2.1,0
dawkipa01,Paul Dawkins,1,-0.009,-2.8,-1.6,-4.4,-0.5,185,0,1,22,0,1,0,57,776,11,0.492,0.017,0.16,6.6,12,9.4,14.8,2.1,0.7,19.1,22,-0.5,0.4,-0.1,-0.009,-2.8,-1.6,-4.4,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
deanegr01,Greg Deane,1,-0.07,-5.9,-3.8,-9.7,-0.1,67,0,1,22,1,0,0,7,48,4.5,0.355,0.091,0.636,5.1,9.4,7.3,15.4,0,0,17.6,15.3,-0.1,0,-0.1,-0.07,-5.9,-3.8,-9.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
demicla01,Larry Demic,3,0.020666666666666667,-3.6666666666666665,-1.3333333333333333,-4.966666666666667,-0.7000000000000001,9,0,1,22,0,1,0,82,1872,7.4,0.468,0,0.347,11.2,16.9,14.1,4.1,1.3,0.9,21.6,16,-1.4,1.3,-0.1,-0.002,-3.8,-0.9,-4.7,-1.3,0,1,0,76,964,10.4,0.533,0.008,0.362,13,15.8,14.4,3.9,0.6,0.8,16.5,14.8,0.8,0.8,1.6,0.081,-2,-1.6,-3.6,-0.4
duerote01,Terry Duerod,4,-0.0085,-3.325,-2.875,-6.225,-0.37500000000000006,48,0,1,23,1,0,0,67,1331,11.7,0.498,0.089,0.11,2.3,5.5,3.9,12.4,1.4,0.4,11.2,20.4,0.6,0.2,0.7,0.026,-1.5,-3.3,-4.8,-1,0,0,0,50,451,13.8,0.49,0.068,0.175,4.2,7,5.5,13.3,1.8,0.5,12.2,26.4,0,0.2,0.2,0.018,-1.6,-3.1,-4.7,-0.3
